datum,cantus,vereniging
18/09/14,EJWiekent ridders en jongkvrouwen,Wina
29/09/14,Openingscantus,Wina
16/10/14,Doopcantus Hoe vettiger hoe prettiger,Wina
10/11/14,Survival of the fittest,Wina
11/11/14,Massacantus der Heverleese kringen,Hoko
18/11/14,Scienticantus,Scientica
27/11/14,Saving private Don Bosco cantus,DB
04/12/14,Sinterkerst,Wina
03/02/15,Skikotcantus Valmeinier,Scientica/skikot
05/02/15,Kamer 112 cantus,Kamer 112
16/02/15,Fairytale,Wina
10/03/15,Pirates of the cantus,Wina
12/03/15,12h cantus WiNA Gent,WiNa
17/03/15,Trouwcantus Mecenas,Mecenas
23/03/15,Openluchtcantus,Geos & Merkator
30/03/15,Apres st.Patricks Day (ontgroening),Wina
21/04/15,Cecemenoukiecantus,Plutonica
23/04/15,Premiumcantus,Tijd en Goesting
27/04/15,Hystoriecantus,Span
30/04/15,Duocantus,DB
04/05/15,Geile Cantus,Farma
12/05/15,No regrets,Wina
14/05/15,milicantus kilopret jaarcantus,Wina
19/05/15,Ongroening & Overdracht,Plutonica
01/06/15,Mosselcantus ==> keukenkast,Span
03/06/15,Kempencantus,Wina
17/09/15,Hippycantus,Wina
28/09/15,Cantus Plezantus,Wina
13/10/15,Openingscantus,Plutonica
15/10/15,Stinken is geen schantus,Wina
27/10/15,Tarzantus,Wina
04/11/15,Doopcantus,Plutonica
05/11/15,Massacantus der Heverleese kringen,Hoko
06/11/15,verbroederingscantus,Winak
09/11/15,Disneycantus,Geos
10/11/15,Wat je vroeger zij dat je later wou worden,DB
11/11/15,Mario cartus,Lan Party
03/12/15,kerstcantus,Plutonica
07/12/15,Familiefeestcantus,Wina
14/12/15,kerstcantus,Steil
02/02/16,Skikotcantus St Jeun d’Arves/gat in mijn handus,Scientica/skikot
08/02/16,kanstus,Wina
15/02/16,gene zwanstus,Scientica
16/02/16,Slaapzakcantus ==> IS cantus,Scientica
18/02/16,Harry potter cantus,Scientica
01/03/16,Monopolycantus,DB
03/03/16,Panem et circantus,Wina
03/03/16,Plutonica cantus,Plutonica
14/03/16,Picantus,Wina
16/03/16,Ganz Geile cantus,Farma
18/03/16,Opendeurcantus,Lovania
24/03/16,Ontgroening,Plutonica
18/04/16,Expeditie Robinson cantus,Spectrum
20/04/16,Macho nacho cantus,Mexica (Medica kp)
21/04/16,Non official kiescantus,Wina
25/04/16,Pinkstercantus,T. Morus
26/04/16,Reis rond de wereld,Psycho
28/04/16,yes they cantus,Wina
03/05/16,Abdijcantus,DB
09/05/16,Overdracht,Plutonica
16/05/16,Omgekeerde Sutnac,Span
09/06/16,Examencantus,Medica
01/07/16,De bevelhebbers van weleer,Spectrum
06/08/16,Openlucht zomercantus,Plutonica
20/09/16,Pleiter is pleite cantus,Plutonica
22/09/16,Maffiacantus,Wina
03/10/16,Er was eens een cantus,Wina
04/10/16,So you think you can cantus,Psycho
10/10/16,Openingscantus,Bios
13/10/16,Scheurcantus,DB
19/10/16,Openingscantus,Plutonica
20/10/16,Dopecantus,Wina
05/11/16,scientica weekend,Scientica
09/11/16,Opendeurcantus,Vader Hageland
14/11/16,Beerhundred cantus,Psycho
15/11/16,Americantus,Medica
16/11/16,Massacantus der Heverleese kringen,Hoko
17/11/16,Doopcantus,Plutonica
18/11/16,Flinstones Cantus,Geos
22/11/16,Urbantus,DB
24/11/16,Cantuswijzercantus,Cantuswijzer
29/11/16,Scienticantus,Scientica
05/12/16,sintcantus,Geos
06/12/16,Witte baarden cantus,Wina
07/12/16,Betsy zaagt cantus,Plutonica
13/12/16,alles kantus,bios
13/12/16,kerstvriendjescantus,Vader Hageland
05/02/17,Ca Glisse cantus,skikot kamer
06/02/17,skikotcantus fous D’allos,Scientica/skikot
07/02/17,Gala van de gouden pint,skikot db kamer
08/02/17,cantus verkeert,skikot vage kamer
22/02/17,Nederlandstalige Cantus,Plutonica
23/02/17,Game of thrones cantus,Wina
27/02/17,Gekke reciepientencantus,Scientica
28/02/17,Speeddate cantus,Scientica
02/03/17,vlaggencantus,Scientica
13/03/17,Spamtus,wina
23/03/17,Ontgroening,Plutonica
24/03/17,familiecantus,DB
28/03/17,Duocantus,Wina & Eoos
29/03/17,Beiaardcantus,Loko
18/04/17,levenswegcantus,Wina
24/04/17,Spartacantus,Sparticle
04/05/17,Leuvense Liederenwedstrijd,Medica
09/05/17,Ontgroening,Wieslandia
17/05/17,Overdracht,Plutonica
02/10/17,Cluedocantus,Wina
09/10/17,Openingscantus,Bios
11/10/17,Openingscantus,Gaudia
17/10/17,Cantuswijzercantus,Cantuswijzer
19/10/17,kennismakingscantus,Plutonica
28/10/17,Lustrumbanket,Plutonica
30/10/17,rare hobby cantus,DB
07/11/17,Doopcantus,Cluster
09/11/17,Lettertjes en cijfertjes cantus,Wina & Eoos
13/11/17,ABC cantus,Psycho
16/11/17,Kom eens langs cantus,Plutonica
23/11/17,Scienticantus,Scientica
29/11/17,bingocantus,Chemika
05/12/17,Top 50 cantus,wina
06/12/17,sinterkerst,cluster
07/12/17,Doopcantus,Plutonica
11/12/17,Sinterklaascantus,Geos
